Designator,Mid X,Mid Y,Rotation,Layer
CN1,48.6,-14.3,270.0,top
CN2,49.7,-35.4,90.0,top
CN3,48.6,-24.6,270.0,top
D1,15.22,-29.0,0.0,top
J1,41.1,-6.24,0.0,top
J2,5.0,-16.81,0.0,top
JOY1,26.76,-47.0,0.0,top
R1,38.99,-38.9,0.0,top
R2,26.51,-38.9,0.0,top
RZ1,26.76,-12.45495,0.0,top
